,index,source,target,weight,counts
538,538,Donald Trump,Betsy DeVos,1,1
539,539,Donald Trump,Brett Giroir,1,1
540,540,Donald Trump,Robert Ford,1,1
541,541,Donald Trump,Tate Reeves,1,1
542,542,Mike Pence,Alex Azar,1,1
543,543,Mike Pence,Betsy DeVos,1,1
544,544,Mike Pence,Brett Giroir,1,1
545,545,Mike Pence,Robert Ford,1,1
546,546,Mike Pence,Tate Reeves,1,1
547,547,Alex Azar,Betsy DeVos,1,1
548,548,Alex Azar,Brett Giroir,1,1
549,549,Alex Azar,Robert Ford,1,1
550,550,Alex Azar,Tate Reeves,1,1
551,551,Betsy DeVos,Brett Giroir,1,1
552,552,Betsy DeVos,Robert Ford,1,1
553,553,Betsy DeVos,Tate Reeves,1,1
554,554,Brett Giroir,Robert Ford,1,1
555,555,Brett Giroir,Tate Reeves,1,1
556,556,Robert Ford,Tate Reeves,1,1
557,557,Donald Trump,Melania Trump,1,5
558,558,Donald Trump,Hope Hicks,1,4
559,559,Donald Trump,Bill Stepien,1,1
560,560,Donald Trump,Stephen Miller,1,3
561,561,Donald Trump,Ivanka Trump,1,2
562,562,Donald Trump,Donald Trump Jr.,1,2
563,563,Donald Trump,Eric Trump,1,2
564,564,Donald Trump,Dan Scavino,1,4
565,565,Donald Trump,Jared Kushner,1,3
566,566,Donald Trump,Jason Miller,1,2
567,567,Donald Trump,Jim Jordan,1,2
568,568,Donald Trump,Lara Trump,1,2
569,569,Donald Trump,Mark Meadows,1,7
570,570,Donald Trump,Tiffany Trump,1,5
571,571,Donald Trump,Kimberly Guilfoyle,1,2
572,572,Donald Trump,Robert O'Brien,1,1
573,573,Melania Trump,Hope Hicks,1,1
574,574,Melania Trump,Bill Stepien,1,1
575,575,Melania Trump,Stephen Miller,1,1
