index,source,target,weight,counts
86,Thom Tillis,Amy Coney Barrett,1,2
87,Thom Tillis,Mark Meadows,1,2
88,Thom Tillis,William Barr,1,2
152,William Barr,Deb Fischer,1,2
151,William Barr,Mike Crapo,1,2
150,William Barr,Marsha Blackburn,1,2
149,William Barr,Tiffany Trump,1,2
148,William Barr,Pat Cipollone,1,2
147,William Barr,Ben Sasse,1,2
146,William Barr,Kelly Loeffler,1,2
90,Thom Tillis,Josh Hawley,1,2
145,William Barr,Josh Hawley,1,2
91,Thom Tillis,Kelly Loeffler,1,2
143,Mark Meadows,Deb Fischer,1,2
142,Mark Meadows,Mike Crapo,1,2
141,Mark Meadows,Marsha Blackburn,1,2
92,Thom Tillis,Ben Sasse,1,2
139,Mark Meadows,Pat Cipollone,1,2
138,Mark Meadows,Ben Sasse,1,2
137,Mark Meadows,Kelly Loeffler,1,2
136,Mark Meadows,Josh Hawley,1,2
93,Thom Tillis,Pat Cipollone,1,2
94,Thom Tillis,Tiffany Trump,1,2
95,Thom Tillis,Marsha Blackburn,1,2
96,Thom Tillis,Mike Crapo,1,2
133,Amy Coney Barrett,Deb Fischer,1,2
97,Thom Tillis,Deb Fischer,1,2
56,Melania Trump,John Jenkins,1,2
203,Donald Trump,Karen Pence,1,2
40,Donald Trump,John Jenkins,1,2
235,Melania Trump,Deb Fischer,1,2
249,Mike Lee,Mark Meadows,1,2
45,Donald Trump,Josh Hawley,1,2
250,Mike Lee,Ben Sasse,1,2
256,Mike Lee,Mike Crapo,1,2
255,Mike Lee,Marsha Blackburn,1,2
251,Mike Lee,Josh Hawley,1,2
48,Donald Trump,Pat Cipollone,1,2
50,Donald Trump,Marsha Blackburn,1,2
236,Mike Lee,John Jenkins,1,2
252,Mike Lee,Kelly Loeffler,1,2
44,Donald Trump,Alex Azar,1,2
234,Melania Trump,Mike Crapo,1,2
233,Melania Trump,Marsha Blackburn,1,2
231,Melania Trump,Pat Cipollone,1,2
51,Donald Trump,Mike Crapo,1,2
15,Dan Scavino,Jason Miller,1,2
52,Donald Trump,Deb Fischer,1,2
253,Mike Lee,Pat Cipollone,1,2
254,Mike Lee,Tiffany Trump,1,2
39,Donald Trump,Mike Lee,1,2
257,Mike Lee,Deb Fischer,1,2
47,Donald Trump,Ben Sasse,1,2
9,Hope Hicks,Jason Miller,1,2
10,Mike Pence,Mark Meadows,1,2
226,Melania Trump,Karen Pence,1,2
41,Donald Trump,Amy Coney Barrett,1,2
228,Melania Trump,Ben Sasse,1,2
229,Melania Trump,Josh Hawley,1,2
5,Donald Trump,Jason Miller,1,2
38,Donald Trump,Thom Tillis,1,2
43,Donald Trump,William Barr,1,2
245,Mike Lee,Amy Coney Barrett,1,2
230,Melania Trump,Kelly Loeffler,1,2
54,Melania Trump,Thom Tillis,1,2
246,Mike Lee,William Barr,1,2
53,Melania Trump,Chris Christie,1,2
55,Melania Trump,Mike Lee,1,2
89,Thom Tillis,Alex Azar,1,1
643,Donald Trump Jr.,Lara Trump,1,1
26,Donald Trump,Ronna McDaniel,1,1
27,Donald Trump,Todd Ricketts,1,1
641,Donald Trump Jr.,Jason Miller,1,1
31,Ronna McDaniel,Tommy Hicks Jr.,1,1
640,Donald Trump Jr.,Jared Kushner,1,1
25,David Perdue,Ben Carson,1,1
639,Donald Trump Jr.,Dan Scavino,1,1
638,Donald Trump Jr.,Eric Trump,1,1
637,Ivanka Trump,Robert O'Brien,1,1
28,Donald Trump,Tommy Hicks Jr.,1,1
35,Tommy Hicks Jr.,Tiffany Trump,1,1
647,Donald Trump Jr.,Robert O'Brien,1,1
648,Eric Trump,Dan Scavino,1,1
649,Eric Trump,Jared Kushner,1,1
30,Ronna McDaniel,Todd Ricketts,1,1
650,Eric Trump,Jason Miller,1,1
652,Eric Trump,Lara Trump,1,1
792,Mark Meadows,Jim Jordan,1,1
34,Todd Ricketts,Tiffany Trump,1,1
33,Todd Ricketts,Tommy Hicks Jr.,1,1
24,Brian Kemp,Ben Carson,1,1
32,Ronna McDaniel,Tiffany Trump,1,1
798,Donald Trump,Steven Mnuchin,1,1
722,Kayleigh McEnany,Jill Biden,1,1
800,Steven Mnuchin,Mark Meadows,1,1
12,Mike Pence,Jason Miller,1,1
818,Nicholas Luna,Mark Meadows,1,1
617,Stephen Miller,Eric Trump,1,1
616,Stephen Miller,Donald Trump Jr.,1,1
615,Stephen Miller,Ivanka Trump,1,1
819,Kayleigh McEnany,Stephen Miller,1,1
614,Bill Stepien,Robert O'Brien,1,1
613,Bill Stepien,Kimberly Guilfoyle,1,1
612,Bill Stepien,Tiffany Trump,1,1
611,Bill Stepien,Mark Meadows,1,1
820,Kayleigh McEnany,Jared Kushner,1,1
11,Mike Pence,Dan Scavino,1,1
633,Ivanka Trump,Lara Trump,1,1
610,Bill Stepien,Lara Trump,1,1
609,Bill Stepien,Jim Jordan,1,1
