,ppl,date,event,combination,source_abb,target_abb,abbrev_x,source,abbrev_y,target,weight
62,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'KL')",MT,KL,MT,Melania Trump,KL,Kelly Loeffler,1
63,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'BS')",MT,BS,MT,Melania Trump,BS,Ben Sasse,1
64,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'PC')",MT,PC,MT,Melania Trump,PC,Pat Cipollone,1
65,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'TT')",MT,TT,MT,Melania Trump,TT,Tiffany Trump,1
66,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'MB')",MT,MB,MT,Melania Trump,MB,Marsha Blackburn,1
67,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'MC')",MT,MC,MT,Melania Trump,MC,Mike Crapo,1
68,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('MT', 'DF')",MT,DF,MT,Melania Trump,DF,Deb Fischer,1
69,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'THOMT')",CC,THOMT,CC,Chris Christie,THOMT,Thom Tillis,1
70,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'ML')",CC,ML,CC,Chris Christie,ML,Mike Lee,1
71,"['DT', 'MT', 'CC', 'THOMT', 'ML', 'JJ', 'ACB', 'MM', 'WB', 'AA', 'JH', 'KL', 'BS', 'PC', 'TT', 'MB', 'MC', 'DF']",2020-09-26,White House meeting with Amy Coney Barrett,"('CC', 'JJ')",CC,JJ,CC,Chris Christie,JJ,John Jenkins,1
